,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
30,"[(0, 12211.068359375), (1, 11597.9140625)]","[(0, 4936.62158203125), (1, 4646.51318359375)]","[(0, 20105.84375), (1, 19416.443359375)]","[(0, 16054.927734375), (1, 15242.0458984375)]","[(0, 13833.482421875), (1, 11114.9970703125)]","[(0, 9925.4453125), (1, 9949.6884765625)]","[(0, 6593.43017578125), (1, 6840.41455078125)]","[(0, 5692.5927734375), (1, 5255.91845703125)]","[(0, 3828.9072265625), (1, 5952.5166015625)]","[(0, 11262.1474609375), (1, 11592.9169921875)]","[(0, 12064.9619140625), (1, 10146.6640625)]"
31,"[(0, 13064.12109375), (1, 12609.8564453125)]","[(0, 7353.587890625), (1, 7275.54443359375)]","[(0, 8943.2705078125), (1, 9147.47265625)]","[(0, 10181.7919921875), (1, 10509.3662109375)]","[(0, 10960.1162109375), (1, 10941.71484375)]","[(0, 9573.5234375), (1, 9766.767578125)]","[(0, 8295.306640625), (1, 7435.72314453125)]","[(0, 6003.10546875), (1, 7917.5126953125)]","[(0, 6309.99609375), (1, 6642.72900390625)]","[(0, 8074.603515625), (1, 7423.55712890625)]","[(0, 7766.4404296875), (1, 7190.80224609375)]"
32,"[(0, 10888.376953125), (1, 10307.462890625)]","[(0, 6892.375), (1, 6999.9130859375)]","[(0, 12108.6826171875), (1, 12810.2529296875)]","[(0, 10916.4599609375), (1, 10036.412109375)]","[(0, 10598.380859375), (1, 10903.4228515625)]","[(0, 10557.3837890625), (1, 11042.265625)]","[(0, 10154.1376953125), (1, 9517.1845703125)]","[(0, 6182.4111328125), (1, 6833.09228515625)]","[(0, 8115.00146484375), (1, 5465.6708984375)]","[(0, 5283.87158203125), (1, 7404.45947265625)]","[(0, 10612.10546875), (1, 13654.4931640625)]"
33,"[(0, 20549.669921875), (1, 19903.201171875)]","[(0, 7783.22705078125), (1, 7730.2177734375)]","[(0, 17879.609375), (1, 17518.4921875)]","[(0, 12720.2880859375), (1, 13656.107421875)]","[(0, 15897.4638671875), (1, 11841.2666015625)]","[(0, 10365.703125), (1, 10547.953125)]","[(0, 9582.1552734375), (1, 8294.8466796875)]","[(0, 8154.68310546875), (1, 5787.78857421875)]","[(0, 10528.2255859375), (1, 4960.30712890625)]","[(0, 12280.9765625), (1, 5687.41650390625)]","[(0, 6699.3564453125), (1, 5819.9912109375)]"
34,"[(0, 12337.052734375), (1, 11380.3720703125)]","[(0, 7516.26611328125), (1, 7067.25830078125)]","[(0, 13664.119140625), (1, 14173.84375)]","[(0, 13924.640625), (1, 14404.9462890625)]","[(0, 8615.822265625), (1, 7527.82958984375)]","[(0, 9878.3896484375), (1, 9970.0439453125)]","[(0, 7207.69189453125), (1, 7285.2509765625)]","[(0, 6202.12890625), (1, 7134.060546875)]","[(0, 6123.76611328125), (1, 5516.71923828125)]","[(0, 7030.064453125), (1, 5976.076171875)]","[(0, 8179.43603515625), (1, 7555.0732421875)]"
35,"[(0, 11161.39453125), (1, 10436.3662109375)]","[(0, 10940.37890625), (1, 10806.0849609375)]","[(0, 17938.498046875), (1, 18353.708984375)]","[(0, 12550.494140625), (1, 12044.453125)]","[(0, 10160.1826171875), (1, 9391.615234375)]","[(0, 10498.2373046875), (1, 10714.703125)]","[(0, 14247.0654296875), (1, 14824.8232421875)]","[(0, 8814.052734375), (1, 8413.267578125)]","[(0, 6924.810546875), (1, 8643.73046875)]","[(0, 17200.11328125), (1, 22396.453125)]","[(0, 8705.1376953125), (1, 7934.20263671875)]"
36,"[(0, 19546.44140625), (1, 18684.3515625)]","[(0, 10090.2998046875), (1, 10117.869140625)]","[(0, 9446.2197265625), (1, 8989.7119140625)]","[(0, 13060.197265625), (1, 12414.87890625)]","[(0, 11902.1884765625), (1, 11490.802734375)]","[(0, 7849.20361328125), (1, 7984.1552734375)]","[(0, 13043.1328125), (1, 13600.3125)]","[(0, 12204.025390625), (1, 15254.7841796875)]","[(0, 9236.8896484375), (1, 5638.98681640625)]","[(0, 4661.39111328125), (1, 5061.021484375)]","[(0, 13005.6826171875), (1, 14546.3232421875)]"
37,"[(0, 16310.306640625), (1, 15463.4521484375)]","[(0, 10125.4169921875), (1, 9645.6298828125)]","[(0, 13882.6474609375), (1, 13632.8798828125)]","[(0, 12098.767578125), (1, 12225.73828125)]","[(0, 9096.294921875), (1, 7901.36376953125)]","[(0, 7236.82666015625), (1, 6971.18603515625)]","[(0, 12173.361328125), (1, 11284.4990234375)]","[(0, 6622.197265625), (1, 6145.81103515625)]","[(0, 8194.1142578125), (1, 5586.38720703125)]","[(0, 15908.80859375), (1, 11546.6845703125)]","[(0, 8169.93994140625), (1, 7562.11572265625)]"
38,"[(0, 8004.412109375), (1, 7492.71240234375)]","[(0, 9132.384765625), (1, 8602.2998046875)]","[(0, 8490.1123046875), (1, 8173.60302734375)]","[(0, 13046.2294921875), (1, 13599.79296875)]","[(0, 14006.896484375), (1, 10385.6513671875)]","[(0, 8928.451171875), (1, 9083.2490234375)]","[(0, 6707.07275390625), (1, 6835.22998046875)]","[(0, 6305.07568359375), (1, 5787.91552734375)]","[(0, 9447.2109375), (1, 8953.904296875)]","[(0, 5998.7451171875), (1, 5980.57421875)]","[(0, 15102.6328125), (1, 20264.251953125)]"
39,"[(0, 7717.4599609375), (1, 7821.705078125)]","[(0, 5294.671875), (1, 4987.4208984375)]","[(0, 18115.8671875), (1, 18991.947265625)]","[(0, 14593.1767578125), (1, 13304.2666015625)]","[(0, 12489.849609375), (1, 9227.099609375)]","[(0, 7355.72705078125), (1, 7612.57861328125)]","[(0, 7086.7158203125), (1, 8065.0224609375)]","[(0, 4826.9443359375), (1, 8627.126953125)]","[(0, 5622.02978515625), (1, 8505.11328125)]","[(0, 5897.80712890625), (1, 5930.802734375)]","[(0, 17019.126953125), (1, 22595.390625)]"
